"Public_Document_Keyword_ID"	"Public_Document_ID"	"Keyword_ID"	"Keyword_Weight"	"Keyword_Category_ID"
400	59	13	100	0
401	59	168	80	0
402	59	12	90	0
403	59	9	90	0
404	59	8	90	0
405	59	11	90	0
406	1276	503	100	0
407	1276	504	100	0
408	1276	505	70	0
409	93	369	40	0
410	1276	506	70	0
412	1276	508	70	0
413	1276	509	60	0
415	1276	511	90	0
416	93	512	100	0
417	93	513	60	0
418	1275	514	90	0
420	1275	231	100	0
421	1275	516	60	0
422	1275	517	50	0
423	1275	518	100	0
424	1275	440	70	0
425	1275	519	70	0
426	1275	520	70	0
427	1275	521	100	0
428	1275	522	50	0
429	1273	523	100	0
430	1273	524	90	0
431	1273	525	100	0
432	1273	526	100	0
433	1273	527	50	0
434	1274	5	100	0
435	1274	6	100	0
436	1274	500	50	0
437	1274	528	100	0
438	1274	248	90	0
439	1274	529	100	0
440	1272	530	100	0
441	1272	531	90	0
442	1272	532	90	0
443	1272	378	50	0
445	49	528	80	0
446	49	194	60	0
447	49	310	60	0
449	32	533	80	0
450	32	528	100	0
451	32	5	80	0
452	131	534	99	0
453	1271	535	100	0
454	1271	536	100	0
455	1271	213	99	0
456	1271	418	90	0
457	1271	537	100	0
458	1330	253	100	0
459	1330	538	100	0
460	1330	534	100	0
461	1331	539	100	0
463	1331	534	100	0
464	1331	540	100	0
465	1331	541	100	0
466	1332	542	100	0
467	1332	119	100	0
468	1332	543	100	0
469	2578	119	100	0
470	2578	542	100	0
471	2578	544	90	0
472	2578	543	100	0
473	2578	545	90	0
474	1333	244	50	0
475	1333	352	50	0
476	1333	546	100	0
477	1333	547	60	0
478	1334	548	100	0
479	1334	549	100	0
480	1334	550	100	0
481	1334	551	100	0
482	1335	552	100	0
483	1335	553	90	0
484	1335	554	70	0
485	1335	555	90	0
486	1335	556	40	0
487	1335	557	50	0
488	1335	558	90	0
489	1325	559	80	0
490	1325	560	80	0
491	1325	561	100	0
492	1326	562	100	0
493	1326	563	100	0
494	1326	564	100	0
495	1326	99	100	0
496	1326	565	70	0
497	1326	566	100	0
498	1326	567	100	0
499	1326	568	100	0
500	1326	569	70	0
501	1326	570	100	0
502	1326	571	100	0
503	1326	572	100	0
504	1326	573	100	0
505	1326	100	100	0
506	1326	574	100	0
507	1326	575	100	0
508	1327	576	100	0
509	1327	100	100	0
510	1327	574	100	0
511	1327	570	100	0
512	1327	577	100	0
513	1327	578	100	0
514	1327	579	100	0
515	1327	97	100	0
516	1327	580	100	0
517	1328	127	100	0
518	1328	581	50	0
519	1328	582	90	0
520	1328	583	70	0
521	1328	584	90	0
522	1328	585	100	0
523	1329	586	100	0
524	1329	587	100	0
525	1329	588	100	0
526	1329	589	100	0
527	1329	590	100	0
528	1329	591	99	0
529	1329	592	100	0
530	1321	593	100	0
531	1321	594	70	0
532	1321	595	90	0
533	1322	596	100	0
534	1322	597	100	0
535	1322	368	50	0
536	1324	598	100	0
537	1324	599	100	0
538	1324	600	100	0
539	1324	601	100	0
540	1324	602	90	0
541	1315	603	60	0
542	1316	604	100	0
543	1316	605	70	0
544	1317	87	100	0
545	1318	213	100	0
546	1318	606	100	0
547	1318	212	95	0
548	1292	607	100	0
549	1292	533	60	0
550	1292	608	90	0
551	1292	248	70	0
552	1292	609	100	0
553	1292	610	100	0
554	1292	611	70	0
555	1292	612	90	0
556	1290	613	100	0
557	1298	614	100	0
558	1319	615	100	0
559	1319	616	90	0
560	1319	617	100	0
561	1319	618	100	0
562	1319	619	100	0
563	1320	616	90	0
564	1320	620	100	0
565	1320	621	100	0
566	1320	622	100	0
567	1320	623	60	0
568	1309	624	100	0
569	1309	516	90	0
570	1309	625	90	0
571	1309	626	50	0
572	1309	627	70	0
573	1310	628	100	0
574	1310	629	70	0
575	1311	630	100	0
